name,url,cuisine,price_for_two,area,distance
L7 Club & Lounge,https://www.zomato.com/pune/l7-club-lounge-koregaon-park/info,"North Indian, Continental, Finger Food, Biryani","₹1,300 for two","Koregaon Park, Pune",4.8 km
FML - Food Music Love,https://www.zomato.com/pune/fml-food-music-love-magarpatta/info,"North Indian, Oriental, Pizza, Continental, Kebab, Biryani, Arabian, Desserts","₹1,900 for two","Magarpatta, Pune",7.8 km
Plink,https://www.zomato.com/pune/plink-yerawada/info,"Italian, Continental, Mughlai, Chinese, Salad, Pizza, Fast Food","₹3,000 for two","Yerawada, Pune
Opens at 5pm",5.7 km
OleOle - The Luxurious Club,https://www.zomato.com/pune/oleole-the-luxurious-club-baner/info,"Bar Food, North Indian, Continental, Alcoholic Beverages, Finger Food, Chinese, Pizza, Seafood","₹1,200 for two","Baner, Pune",7.2 km
Foo KOPA,https://www.zomato.com/pune/foo-kopa-mundhwa/info,"Asian, Sushi, Chinese, Desserts, Beverages","₹2,000 for two","Mundhwa, Pune",5.7 km
2BHK Diner & Key Club,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden/info,"North Indian, Mediterranean, European, Finger Food, Italian, American, Beverages","₹3,000 for two","Bund Garden Road, Pune",2 km
Fountain House,https://www.zomato.com/pune/fountain-house-2-shivaji-nagar/info,"North Indian, Fast Food, Desserts, Beverages",₹950 for two,"Shivaji Nagar, Pune",3 km
Epitome,https://www.zomato.com/pune/epitome-bund-garden/info,"North Indian, Sushi, Asian, Italian, Chinese, Fast Food, Desserts, Beverages","₹1,600 for two","Bund Garden Road, Pune",2 km
Mosaic - Crowne Plaza Pune City Centre,https://www.zomato.com/pune/mosaic-crowne-plaza-pune-city-centre-bund-garden/info,"North Indian, Fast Food, American, Beverages, Desserts, Asian","₹3,000 for two","Bund Garden Road, Pune",2.4 km
Backstage,https://www.zomato.com/pune/backstage-nibm-road/info,"Continental, North Indian, Mughlai, Seafood, Biryani, Chinese, Fast Food, Desserts","₹1,200 for two","NIBM Road, Pune",7.6 km
